Address,Identification Number,First Name,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Last Name,Savings Starting Balance,Password,Credit Starting Balance,Savings Account Number,Email,Credit Max
"1313 Disneyland Dr, Anaheim, CA 92802",21,Belle,"March 23, 1939",1020,3020,(714) 781-4636,1334.67,Disney,2848.90,Disney*Belle!987,-704.51,2020,BelleDisney@disney.com,7792
"1313 Disneyland Dr, Anaheim, CA 92802",17,Buzz,"July 24, 2016",1016,3016,(714) 781-4636,485.59,Lightyear,4479.46,Lightyear*Buzz!987,-1092.58,2016,BuzzLightyear@disney.com,6262
"1313 Disneyland Dr, Anaheim, CA 92802",27,Captaiin,"February 2, 1934",1026,3026,(714) 781-4636,454.50,Hook,4045.09,Hook*Captaiin!987,-1693.27,2026,CaptaiinHook@disney.com,5319
"1313 Disneyland Dr, Anaheim, CA 92802",6,Chip,"January 10, 1930",1005,3005,(714) 781-4636,1982.96,Disney,2851.39,Disney*Chip!987,-260.34,2005,ChipDisney@disney.com,4287
"1313 Disneyland Dr, Anaheim, CA 92802",8,Cinderella,"September 30, 2000",1007,3007,(714) 781-4636,1372.65,Disney,1079.31,Disney*Cinderella!987,-365.57,2007,CinderellaDisney@disney.com,7635
"1313 Disneyland Dr, Anaheim, CA 92802",22,Cruella,"April 1, 1941",1021,3021,(714) 781-4636,846.96,De Vil,1170.73,De Vil*Cruella!987,-1025.67,2021,CruellaDe Vil@disney.com,5969
"1313 Disneyland Dr, Anaheim, CA 92802",7,Dale,"July 30, 1935",1006,3006,(714) 781-4636,553.54,Disney,1800.54,Disney*Dale!987,-1737.37,2006,DaleDisney@disney.com,9723
"500 W. University Ave, El Paso, TX 79968",60,Daniel,"December 20, 1961",1059,3059,(915) 747-5023,1823.22,Moreno,4957.04,Moreno*Daniel!987,-1572.11,2059,DanielMoreno@disney.com,7313
"500 W. University Ave, El Paso, TX 79968",82,Daniel,"January 29, 1937",1081,3081,(915) 747-5045,267.51,Mejia,739.28,Mejia*Daniel!987,-1314.82,2081,DanielMejia@disney.com,6819
"500 W. University Ave, El Paso, TX 79968",83,Daniel,"October 6, 1935",1082,3082,(915) 747-5046,1608.95,A,472.62,A*Daniel!987,-597.02,2082,DanielA@disney.com,9664
"500 W. University Ave, El Paso, TX 79968",84,Daniel,"December 19, 1967",1083,3083,(915) 747-5047,1248.10,B,25.43,B*Daniel!987,-949.66,2083,DanielB@disney.com,5713
"500 W. University Ave, El Paso, TX 79968",85,Daniel,"March 26, 1947",1084,3084,(915) 747-5048,506.49,C,585.08,C*Daniel!987,-177.66,2084,DanielC@disney.com,4918
"500 W. University Ave, El Paso, TX 79968",86,Daniel,"July 27, 1936",1085,3085,(915) 747-5049,1312.90,D,1923.71,D*Daniel!987,-1954.86,2085,DanielD@disney.com,9372
"500 W. University Ave, El Paso, TX 79968",87,Daniel,"March 30, 1934",1086,3086,(915) 747-5050,411.84,E,1367.90,E*Daniel!987,-1341.59,2086,DanielE@disney.com,6623
"500 W. University Ave, El Paso, TX 79968",88,Daniel,"July 15, 1940",1087,3087,(915) 747-5051,1102.06,F,4254.63,F*Daniel!987,-1747.66,2087,DanielF@disney.com,9042
"500 W. University Ave, El Paso, TX 79968",89,Daniel,"October 17, 1961",1088,3088,(915) 747-5052,1634.77,G,2529.43,G*Daniel!987,-999.57,2088,DanielG@disney.com,7207
"500 W. University Ave, El Paso, TX 79968",90,Daniel,"July 27, 2009",1089,3089,(915) 747-5053,1339.48,H,3040.89,H*Daniel!987,-1689.39,2089,DanielH@disney.com,9798
"500 W. University Ave, El Paso, TX 79968",91,Daniel,"October 31, 1933",1090,3090,(915) 747-5054,1238.97,I,4566.66,I*Daniel!987,-1898.03,2090,DanielI@disney.com,6513
"500 W. University Ave, El Paso, TX 79968",92,Daniel,"February 15, 2005",1091,3091,(915) 747-5055,317.72,J,1518.04,J*Daniel!987,-1113.22,2091,DanielJ@disney.com,3023
"500 W. University Ave, El Paso, TX 79968",93,Daniel,"February 7, 2015",1092,3092,(915) 747-5056,436.75,K,2283.15,K*Daniel!987,-121.69,2092,DanielK@disney.com,3159
"500 W. University Ave, El Paso, TX 79968",94,Daniel,"February 4, 1982",1093,3093,(915) 747-5057,707.79,L,4280.80,L*Daniel!987,-459.68,2093,DanielL@disney.com,5195
"500 W. University Ave, El Paso, TX 79968",95,Daniel,"July 28, 1998",1094,3094,(915) 747-5058,1310.90,N,1494.58,N*Daniel!987,-86.54,2094,DanielN@disney.com,7530
"500 W. University Ave, El Paso, TX 79968",96,Daniel,"January 20, 1961",1095,3095,(915) 747-5059,1833.95,O,4261.12,O*Daniel!987,-1729.95,2095,DanielO@disney.com,6599
"500 W. University Ave, El Paso, TX 79968",97,Daniel,"July 29, 1932",1096,3096,(915) 747-5060,1317.93,P,4025.04,P*Daniel!987,-739.90,2096,DanielP@disney.com,4572
"500 W. University Ave, El Paso, TX 79968",98,Daniel,"October 7, 1943",1097,3097,(915) 747-5061,1494.79,Q,4248.75,Q*Daniel!987,-1670.85,2097,DanielQ@disney.com,7226
"500 W. University Ave, El Paso, TX 79968",99,Daniel,"July 12, 2007",1098,3098,(915) 747-5062,415.90,R,1088.44,R*Daniel!987,-1814.13,2098,DanielR@disney.com,6361
"500 W. University Ave, El Paso, TX 79968",100,Daniel,"October 19, 1998",1099,3099,(915) 747-5063,1775.98,S,4281.39,S*Daniel!987,-1784.33,2099,DanielS@disney.com,6920
"500 W. University Ave, El Paso, TX 79968",101,Daniel,"November 29, 2018",1100,3100,(915) 747-5064,1442.14,T,374.68,T*Daniel!987,-583.94,2100,DanielT@disney.com,5831
"500 W. University Ave, El Paso, TX 79968",102,Daniel,"December 1, 1981",1101,3101,(915) 747-5065,1483.83,U,4355.10,U*Daniel!987,-925.95,2101,DanielU@disney.com,3157
"500 W. University Ave, El Paso, TX 79968",103,Daniel,"February 21, 1954",1102,3102,(915) 747-5066,193.23,V,1744.25,V*Daniel!987,-1596.96,2102,DanielV@disney.com,6163
"500 W. University Ave, El Paso, TX 79968",104,Daniel,"October 26, 2008",1103,3103,(915) 747-5067,1680.06,W,4459.07,W*Daniel!987,-1145.20,2103,DanielW@disney.com,7074
"500 W. University Ave, El Paso, TX 79968",105,Daniel,"June 4, 1944",1104,3104,(915) 747-5068,312.23,X,1292.18,X*Daniel!987,-916.32,2104,DanielX@disney.com,6341
"500 W. University Ave, El Paso, TX 79968",106,Daniel,"November 26, 1948",1105,3105,(915) 747-5069,16.42,Y,1534.36,Y*Daniel!987,-1503.04,2105,DanielY@disney.com,4465
"500 W. University Ave, El Paso, TX 79968",107,Daniel,"May 21, 1984",1106,3106,(915) 747-5070,555.83,Z,1573.56,Z*Daniel!987,-690.04,2106,DanielZ@disney.com,6931
"500 W. University Ave, El Paso, TX 79968",75,David,"November 11, 2012",1074,3074,(915) 747-5038,1393.88,Sanchez,76.74,Sanchez*David!987,-120.17,2074,DavidSanchez@disney.com,3477
"500 W. University Ave, El Paso, TX 79968",52,Denise,"July 10, 1961",1051,3051,(915) 747-5015,1450.19,Gomez,2602.43,Gomez*Denise!987,-409.14,2051,DeniseGomez@disney.com,6909
"500 W. University Ave, El Paso, TX 79968",57,Diana,"April 24, 1974",1056,3056,(915) 747-5020,265.80,Licon,1117.88,Licon*Diana!987,-1007.84,2056,DianaLicon@disney.com,7407
"500 W. University Ave, El Paso, TX 79968",68,Diego,"November 11, 2012",1067,3067,(915) 747-5031,1104.07,Quinones Rodriguez,4363.73,Quinones Rodriguez*Diego!987,-468.82,2067,DiegoQuinones Rodriguez@disney.com,7006
"500 W. University Ave, El Paso, TX 79968",78,Dillon,"February 13, 1942",1077,3077,(915) 747-5041,1797.75,Trinh,2444.78,Trinh*Dillon!987,-455.21,2077,DillonTrinh@disney.com,8114
"1313 Disneyland Dr, Anaheim, CA 92802",2,Donald,"February 24, 1987",1001,3001,(714) 781-4636,718.42,Duck,2671.68,Duck*Donald!987,-1655.49,2001,DonaldDuck@disney.com,6723
"500 W. University Ave, El Paso, TX 79968",58,Dustyn,"March 16, 1934",1057,3057,(915) 747-5021,657.56,Loyda,3326.55,Loyda*Dustyn!987,-1587.18,2057,DustynLoyda@disney.com,9554
"500 W. University Ave, El Paso, TX 79968",71,Efrain,"January 14, 1937",1070,3070,(915) 747-5034,1571.15,Retana,2261.34,Retana*Efrain!987,-1457.16,2070,EfrainRetana@disney.com,9237
"500 W. University Ave, El Paso, TX 79968",66,Elijah,"May 29, 1947",1065,3065,(915) 747-5029,773.60,Pele,2752.83,Pele*Elijah!987,-1608.52,2065,ElijahPele@disney.com,6368
"500 W. University Ave, El Paso, TX 79968",56,Ethan,"October 29, 1978",1055,3055,(915) 747-5019,398.59,Kish,2378.44,Kish*Ethan!987,-1811.16,2055,EthanKish@disney.com,6789
"1313 Disneyland Dr, Anaheim, CA 92802",29,Evil,"October 30, 1997",1028,3028,(714) 781-4636,1115.60,Queen,3934.75,Queen*Evil!987,-1697.08,2028,EvilQueen@disney.com,8824
"500 W. University Ave, El Paso, TX 79968",64,Francisco,"March 13, 1964",1063,3063,(915) 747-5027,1411.26,Nolasco,2541.34,Nolasco*Francisco!987,-1185.60,2063,FranciscoNolasco@disney.com,4194
"1313 Disneyland Dr, Anaheim, CA 92802",25,Gaston,"February 22, 1943",1024,3024,(714) 781-4636,1395.98,Disney,1954.01,Disney*Gaston!987,-1496.55,2024,GastonDisney@disney.com,4436
"1313 Disneyland Dr, Anaheim, CA 92802",4,Goofy,"May 27, 1987",1003,3003,(714) 781-4636,413.52,Disney,3544.89,Disney*Goofy!987,-1185.25,2003,GoofyDisney@disney.com,6664
"500 W. University Ave, El Paso, TX 79968",72,Hector,"March 8, 1933",1071,3071,(915) 747-5035,210.67,Richart Ruiz,4749.24,Richart Ruiz*Hector!987,-1313.90,2071,HectorRichart Ruiz@disney.com,5001
"1313 Disneyland Dr, Anaheim, CA 92802",33,Hercules,"January 18, 1985",1032,3032,(714) 781-4636,1027.57,Disney,4997.10,Disney*Hercules!987,-1092.61,2032,HerculesDisney@disney.com,8067
"500 W. University Ave, El Paso, TX 79968",49,Ivan,"April 10, 2005",1048,3048,(915) 747-5012,1891.36,Espino,3363.78,Espino*Ivan!987,-86.64,2048,IvanEspino@disney.com,3474
"500 W. University Ave, El Paso, TX 79968",61,Jacob,"June 30, 1999",1060,3060,(915) 747-5024,666.34,Moreno,2666.55,Moreno*Jacob!987,-1575.42,2060,JacobMoreno@disney.com,6564
"1313 Disneyland Dr, Anaheim, CA 92802",18,Jafar,"January 14, 1968",1017,3017,(714) 781-4636,1287.34,Aladdin,4602.46,Aladdin*Jafar!987,-1709.00,2017,JafarAladdin@disney.com,9165
"1313 Disneyland Dr, Anaheim, CA 92802",10,Jasmine,"July 1, 1980",1009,3009,(714) 781-4636,1440.21,Disney,4121.14,Disney*Jasmine!987,-269.68,2009,JasmineDisney@disney.com,4817
"500 W. University Ave, El Paso, TX 79968",74,Joel,"May 12, 1930",1073,3073,(915) 747-5037,507.76,Salas,3454.53,Salas*Joel!987,-1374.22,2073,JoelSalas@disney.com,5725
"500 W. University Ave, El Paso, TX 79968",76,Jose,"October 23, 1987",1075,3075,(915) 747-5039,1096.40,Sanchez Jr,1655.66,Sanchez Jr*Jose!987,-1574.90,2075,JoseSanchez Jr@disney.com,8338
"500 W. University Ave, El Paso, TX 79968",69,Juan,"December 13, 1928",1068,3068,(915) 747-5032,1241.95,Rabelo,4711.52,Rabelo*Juan!987,-1726.67,2068,JuanRabelo@disney.com,5187
"500 W. University Ave, El Paso, TX 79968",50,Julio,"October 21, 1951",1049,3049,(915) 747-5013,360.56,Garcia,930.10,Garcia*Julio!987,-826.42,2049,JulioGarcia@disney.com,8142
"1313 Disneyland Dr, Anaheim, CA 92802",28,Kaa,"December 16, 1938",1027,3027,(714) 781-4636,62.16,Disney,751.14,Disney*Kaa!987,-1931.07,2027,KaaDisney@disney.com,9575
"500 W. University Ave, El Paso, TX 79968",38,Kevin,"February 14, 1929",1037,3037,(915) 747-5001,1527.15,Acosta,1796.46,Acosta*Kevin!987,-518.37,2037,KevinAcosta@disney.com,5347
"500 W. University Ave, El Paso, TX 79968",41,Kevin,"January 12, 2012",1040,3040,(915) 747-5004,919.95,Aofia,1724.90,Aofia*Kevin!987,-1549.83,2040,KevinAofia@disney.com,5967
"500 W. University Ave, El Paso, TX 79968",62,Kevin,"April 26, 1943",1061,3061,(915) 747-5025,759.49,Moreno,778.64,Moreno*Kevin!987,-1368.09,2061,KevinMoreno@disney.com,3343
"500 W. University Ave, El Paso, TX 79968",81,Khandoker,"December 27, 2001",1080,3080,(915) 747-5044,444.86,Rahad,3369.92,Rahad*Khandoker!987,-1108.67,2080,KhandokerRahad@disney.com,8278
"500 W. University Ave, El Paso, TX 79968",63,Leonardo,"June 27, 2007",1062,3062,(915) 747-5026,908.75,Munoz,4420.49,Munoz*Leonardo!987,-533.12,2062,LeonardoMunoz@disney.com,5640
"1313 Disneyland Dr, Anaheim, CA 92802",35,Lilo,"November 10, 1971",1034,3034,(714) 781-4636,1962.25,Disney,4196.43,Disney*Lilo!987,-6.78,2034,LiloDisney@disney.com,8361
"500 W. University Ave, El Paso, TX 79968",46,Luis,"June 21, 2006",1045,3045,(915) 747-5009,1555.31,Davila,1313.18,Davila*Luis!987,-234.31,2045,LuisDavila@disney.com,7646
"500 W. University Ave, El Paso, TX 79968",40,Madison,"January 15, 1978",1039,3039,(915) 747-5003,1810.81,Anderson,1991.43,Anderson*Madison!987,-871.60,2039,MadisonAnderson@disney.com,4015
"500 W. University Ave, El Paso, TX 79968",77,Madison,"October 4, 2010",1076,3076,(915) 747-5040,969.22,Schlosser,2195.18,Schlosser*Madison!987,-1476.61,2076,MadisonSchlosser@disney.com,6558
"500 W. University Ave, El Paso, TX 79968",59,Mario,"April 1, 1961",1058,3058,(915) 747-5022,754.40,Macias,3630.09,Macias*Mario!987,-955.14,2058,MarioMacias@disney.com,3005
"500 W. University Ave, El Paso, TX 79968",55,Matthew,"July 1, 2004",1054,3054,(915) 747-5018,1296.02,Herrera,3007.51,Herrera*Matthew!987,-11.43,2054,MatthewHerrera@disney.com,8685
"500 W. University Ave, El Paso, TX 79968",51,Mauricio,"August 19, 1991",1050,3050,(915) 747-5014,1590.75,Garcia Tovar,1809.13,Garcia Tovar*Mauricio!987,-641.22,2050,MauricioGarcia Tovar@disney.com,3409
"1313 Disneyland Dr, Anaheim, CA 92802",1,Mickey,"May 15, 1935",1000,3000,(714) 781-4636,2160.12,Mouse,4788.55,Mouse*Mickey!987,-127.93,2000,MickeyMouse@disney.com,9895
"1313 Disneyland Dr, Anaheim, CA 92802",3,Minnie,"July 16, 2000",1002,3002,(714) 781-4636,1070.98,Mouse,2020.27,Mouse*Minnie!987,-12.25,2002,MinnieMouse@disney.com,7630
"1313 Disneyland Dr, Anaheim, CA 92802",13,Mufassa,"October 13, 1964",1012,3012,(714) 781-4636,846.57,Disney,2655.56,Disney*Mufassa!987,-619.20,2012,MufassaDisney@disney.com,7272
"1313 Disneyland Dr, Anaheim, CA 92802",34,Mulan,"August 25, 1996",1033,3033,(714) 781-4636,708.74,Disney,4074.21,Disney*Mulan!987,-1909.97,2033,MulanDisney@disney.com,4761
"500 W. University Ave, El Paso, TX 79968",43,Nadia,"February 26, 2018",1042,3042,(915) 747-5006,584.94,Atiyeh,1823.76,Atiyeh*Nadia!987,-323.05,2042,NadiaAtiyeh@disney.com,4228
"500 W. University Ave, El Paso, TX 79968",80,Nathan,"December 20, 1990",1079,3079,(915) 747-5043,1568.62,Aun,3868.27,Aun*Nathan!987,-176.58,2079,NathanAun@disney.com,3214
"500 W. University Ave, El Paso, TX 79968",44,Nicole,"December 25, 1992",1043,3043,(915) 747-5007,348.70,Avila,2567.40,Avila*Nicole!987,-1820.42,2043,NicoleAvila@disney.com,6189
"500 W. University Ave, El Paso, TX 79968",67,Omar,"June 12, 2009",1066,3066,(915) 747-5030,614.78,Perez,2653.38,Perez*Omar!987,-53.47,2066,OmarPerez@disney.com,9265
"500 W. University Ave, El Paso, TX 79968",48,Oswaldo,"May 26, 1958",1047,3047,(915) 747-5011,1102.49,Escobedo,2028.97,Escobedo*Oswaldo!987,-1348.07,2047,OswaldoEscobedo@disney.com,5237
"500 W. University Ave, El Paso, TX 79968",53,Paulie Jo,"January 13, 1951",1052,3052,(915) 747-5016,929.81,Gonzalez,132.65,Gonzalez*Paulie Jo!987,-1981.03,2052,Paulie JoGonzalez@disney.com,5048
"1313 Disneyland Dr, Anaheim, CA 92802",15,Peter,"April 21, 1974",1014,3014,(714) 781-4636,555.75,Pan,3971.00,Pan*Peter!987,-1907.84,2014,PeterPan@disney.com,3393
"1313 Disneyland Dr, Anaheim, CA 92802",30,Pinocchio,"September 11, 1982",1029,3029,(714) 781-4636,1905.38,Disney,665.21,Disney*Pinocchio!987,-478.74,2029,PinocchioDisney@disney.com,7762
"1313 Disneyland Dr, Anaheim, CA 92802",5,Pluto,"July 5, 1928",1004,3004,(714) 781-4636,674.86,Disney,2622.23,Disney*Pluto!987,-1876.16,2004,PlutoDisney@disney.com,5029
"1313 Disneyland Dr, Anaheim, CA 92802",31,Prince,"October 12, 1990",1030,3030,(714) 781-4636,1199.92,Eric,3225.28,Eric*Prince!987,-1227.95,2030,PrinceEric@disney.com,4898
"1313 Disneyland Dr, Anaheim, CA 92802",32,Quasimodo,"October 12, 1983",1031,3031,(714) 781-4636,531.70,Disney,1008.64,Disney*Quasimodo!987,-530.57,2031,QuasimodoDisney@disney.com,6440
"500 W. University Ave, El Paso, TX 79968",54,Raul,"March 27, 1953",1053,3053,(915) 747-5017,453.48,Guerrero,142.40,Guerrero*Raul!987,-1117.89,2053,RaulGuerrero@disney.com,3302
"500 W. University Ave, El Paso, TX 79968",65,Roberto,"April 26, 1972",1064,3064,(915) 747-5028,689.39,Orozco,3290.74,Orozco*Roberto!987,-50.88,2064,RobertoOrozco@disney.com,7473
"1313 Disneyland Dr, Anaheim, CA 92802",23,Scar,"November 8, 1982",1022,3022,(714) 781-4636,1714.33,Lion,1193.79,Lion*Scar!987,-984.64,2022,ScarLion@disney.com,8150
"1313 Disneyland Dr, Anaheim, CA 92802",26,Shere,"December 1, 1940",1025,3025,(714) 781-4636,1347.92,Khan,1452.40,Khan*Shere!987,-233.88,2025,ShereKhan@disney.com,5711
"1313 Disneyland Dr, Anaheim, CA 92802",12,Simba,"May 14, 1953",1011,3011,(714) 781-4636,14.55,Disney,711.68,Disney*Simba!987,-1167.04,2011,SimbaDisney@disney.com,6267
"1313 Disneyland Dr, Anaheim, CA 92802",24,Simba,"March 24, 1972",1023,3023,(714) 781-4636,1799.49,King,2220.43,King*Simba!987,-1653.74,2023,SimbaKing@disney.com,9941
"500 W. University Ave, El Paso, TX 79968",79,Stephanie,"January 4, 1970",1078,3078,(915) 747-5042,1834.72,Valdez,4985.91,Valdez*Stephanie!987,-1674.69,2078,StephanieValdez@disney.com,5877
"1313 Disneyland Dr, Anaheim, CA 92802",36,Stitch,"April 4, 1935",1035,3035,(714) 781-4636,1947.61,Disney,2782.03,Disney*Stitch!987,-414.18,2035,StitchDisney@disney.com,4055
"1313 Disneyland Dr, Anaheim, CA 92802",19,Ursela,"March 29, 1946",1018,3018,(714) 781-4636,1593.59,Mermaid,2070.66,Mermaid*Ursela!987,-1158.03,2018,UrselaMermaid@disney.com,8595
"500 W. University Ave, El Paso, TX 79968",47,Vincent,"November 1, 1945",1046,3046,(915) 747-5010,1844.59,De La Torre,4324.82,De La Torre*Vincent!987,-1617.20,2046,VincentDe La Torre@disney.com,6138
"1313 Disneyland Dr, Anaheim, CA 92802",16,Woody,"February 17, 1983",1015,3015,(714) 781-4636,234.91,Disney,2412.03,Disney*Woody!987,-1125.79,2015,WoodyDisney@disney.com,8710
