Last Name,Checking Starting Balance,Phone Number,Savings Starting Balance,Checking Account Number,Credit Account Number,Address,First Name,Password,Credit Starting Balance,Savings Account Number,Email,Credit Max,Date of Birth,Identification Number
Disney,1905.14,(714) 781-4636,1937.82,1013,3013,"1313 Disneyland Dr, Anaheim, CA 92802",Aurora,Disney*Aurora!987,-58.47,2013,AuroraDisney@disney.com,4617,"November 23, 1941",14
Pan,1115.68,(714) 781-4636,360.56,1014,3014,"1313 Disneyland Dr, Anaheim, CA 92802",Peter,Pan*Peter!987,-1529.71,2014,PeterPan@disney.com,6010,"February 26, 1991",15
Disney,1095.14,(714) 781-4636,1440.88,1015,3015,"1313 Disneyland Dr, Anaheim, CA 92802",Woody,Disney*Woody!987,-363.79,2015,WoodyDisney@disney.com,4415,"February 9, 1947",16
Lightyear,1296.11,(714) 781-4636,2198.78,1016,3016,"1313 Disneyland Dr, Anaheim, CA 92802",Buzz,Lightyear*Buzz!987,-1903.66,2016,BuzzLightyear@disney.com,8747,"January 10, 1952",17
Aladdin,1948.48,(714) 781-4636,377.78,1017,3017,"1313 Disneyland Dr, Anaheim, CA 92802",Jafar,Aladdin*Jafar!987,-647.46,2017,JafarAladdin@disney.com,8163,"February 1, 1928",18
Mermaid,1035.30,(714) 781-4636,271.42,1018,3018,"1313 Disneyland Dr, Anaheim, CA 92802",Ursela,Mermaid*Ursela!987,-1868.02,2018,UrselaMermaid@disney.com,6286,"July 1, 1950",19
Disney,1951.63,(714) 781-4636,1985.25,1019,3019,"1313 Disneyland Dr, Anaheim, CA 92802",Beast,Disney*Beast!987,-1463.22,2019,BeastDisney@disney.com,3635,"March 1, 2006",20
Disney,1062.28,(714) 781-4636,4497.94,1020,3020,"1313 Disneyland Dr, Anaheim, CA 92802",Belle,Disney*Belle!987,-1077.04,2020,BelleDisney@disney.com,6287,"December 9, 1933",21
De Vil,749.59,(714) 781-4636,4415.58,1021,3021,"1313 Disneyland Dr, Anaheim, CA 92802",Cruella,De Vil*Cruella!987,-748.12,2021,CruellaDe Vil@disney.com,3912,"September 1, 1994",22
Lion,1.08,(714) 781-4636,2867.63,1022,3022,"1313 Disneyland Dr, Anaheim, CA 92802",Scar,Lion*Scar!987,-505.63,2022,ScarLion@disney.com,3124,"December 30, 1969",23
King,1303.31,(714) 781-4636,1700.04,1023,3023,"1313 Disneyland Dr, Anaheim, CA 92802",Simba,King*Simba!987,-711.88,2023,SimbaKing@disney.com,4820,"April 18, 1958",24
Disney,403.10,(714) 781-4636,3090.52,1024,3024,"1313 Disneyland Dr, Anaheim, CA 92802",Gaston,Disney*Gaston!987,-782.88,2024,GastonDisney@disney.com,7255,"February 27, 1945",25
Khan,944.14,(714) 781-4636,4591.17,1025,3025,"1313 Disneyland Dr, Anaheim, CA 92802",Shere,Khan*Shere!987,-904.47,2025,ShereKhan@disney.com,7789,"April 1, 1936",26
Hook,389.21,(714) 781-4636,2167.47,1026,3026,"1313 Disneyland Dr, Anaheim, CA 92802",Captaiin,Hook*Captaiin!987,-1261.35,2026,CaptaiinHook@disney.com,8077,"December 6, 1977",27
Disney,8.79,(714) 781-4636,2006.16,1027,3027,"1313 Disneyland Dr, Anaheim, CA 92802",Kaa,Disney*Kaa!987,-1460.41,2027,KaaDisney@disney.com,4823,"July 27, 1995",28
Queen,143.15,(714) 781-4636,617.17,1028,3028,"1313 Disneyland Dr, Anaheim, CA 92802",Evil,Queen*Evil!987,-1652.69,2028,EvilQueen@disney.com,6858,"June 19, 2006",29
Disney,1628.10,(714) 781-4636,363.63,1029,3029,"1313 Disneyland Dr, Anaheim, CA 92802",Pinocchio,Disney*Pinocchio!987,-1462.68,2029,PinocchioDisney@disney.com,6484,"August 13, 1954",30
Eric,870.07,(714) 781-4636,1370.56,1030,3030,"1313 Disneyland Dr, Anaheim, CA 92802",Prince,Eric*Prince!987,-74.71,2030,PrinceEric@disney.com,8744,"June 10, 2014",31
Disney,1043.46,(714) 781-4636,4440.46,1031,3031,"1313 Disneyland Dr, Anaheim, CA 92802",Quasimodo,Disney*Quasimodo!987,-1783.02,2031,QuasimodoDisney@disney.com,6196,"April 1, 1968",32
Disney,1286.82,(714) 781-4636,1830.25,1032,3032,"1313 Disneyland Dr, Anaheim, CA 92802",Hercules,Disney*Hercules!987,-100.90,2032,HerculesDisney@disney.com,5906,"May 1, 1983",33
Disney,1708.80,(714) 781-4636,1664.11,1033,3033,"1313 Disneyland Dr, Anaheim, CA 92802",Mulan,Disney*Mulan!987,-1087.77,2033,MulanDisney@disney.com,6101,"July 23, 1952",34
Disney,1697.14,(714) 781-4636,1452.03,1034,3034,"1313 Disneyland Dr, Anaheim, CA 92802",Lilo,Disney*Lilo!987,-1221.60,2034,LiloDisney@disney.com,6329,"May 6, 1928",35
Disney,500.66,(714) 781-4636,193.03,1035,3035,"1313 Disneyland Dr, Anaheim, CA 92802",Stitch,Disney*Stitch!987,-93.37,2035,StitchDisney@disney.com,3201,"February 16, 1944",36
Abed,1153.60,(915) 747-5000,546.81,1036,3036,"500 W. University Ave, El Paso, TX 79968",Ali,Abed*Ali!987,-1522.04,2036,AliAbed@disney.com,6311,"February 26, 2012",37
Acosta,1634.37,(915) 747-5001,3567.60,1037,3037,"500 W. University Ave, El Paso, TX 79968",Kevin,Acosta*Kevin!987,-623.36,2037,KevinAcosta@disney.com,7822,"October 12, 2004",38
Aguirre,569.60,(915) 747-5002,3650.59,1038,3038,"500 W. University Ave, El Paso, TX 79968",Antonio,Aguirre*Antonio!987,-1711.06,2038,AntonioAguirre@disney.com,3398,"August 13, 1979",39
Anderson,1974.16,(915) 747-5003,3542.60,1039,3039,"500 W. University Ave, El Paso, TX 79968",Madison,Anderson*Madison!987,-770.83,2039,MadisonAnderson@disney.com,4938,"April 12, 2001",40
Aofia,815.62,(915) 747-5004,3678.74,1040,3040,"500 W. University Ave, El Paso, TX 79968",Kevin,Aofia*Kevin!987,-1645.39,2040,KevinAofia@disney.com,5973,"May 11, 1942",41
Armendariz,1332.97,(915) 747-5005,3757.68,1041,3041,"500 W. University Ave, El Paso, TX 79968",Angel,Armendariz*Angel!987,-1677.80,2041,AngelArmendariz@disney.com,9703,"April 29, 2017",42
Atiyeh,120.72,(915) 747-5006,3503.77,1042,3042,"500 W. University Ave, El Paso, TX 79968",Nadia,Atiyeh*Nadia!987,-153.69,2042,NadiaAtiyeh@disney.com,8935,"August 8, 1995",43
Avila,1164.72,(915) 747-5007,1632.38,1043,3043,"500 W. University Ave, El Paso, TX 79968",Nicole,Avila*Nicole!987,-150.44,2043,NicoleAvila@disney.com,8598,"October 29, 1955",44
Carrera Pio,1613.07,(915) 747-5008,631.89,1044,3044,"500 W. University Ave, El Paso, TX 79968",Andrea,Carrera Pio*Andrea!987,-1432.55,2044,AndreaCarrera Pio@disney.com,9290,"August 30, 1983",45
Davila,1739.99,(915) 747-5009,390.96,1045,3045,"500 W. University Ave, El Paso, TX 79968",Luis,Davila*Luis!987,-778.00,2045,LuisDavila@disney.com,7146,"April 5, 1997",46
De La Torre,1549.93,(915) 747-5010,1756.53,1046,3046,"500 W. University Ave, El Paso, TX 79968",Vincent,De La Torre*Vincent!987,-594.66,2046,VincentDe La Torre@disney.com,3141,"August 7, 1962",47
Escobedo,253.46,(915) 747-5011,3796.44,1047,3047,"500 W. University Ave, El Paso, TX 79968",Oswaldo,Escobedo*Oswaldo!987,-173.93,2047,OswaldoEscobedo@disney.com,7946,"October 1, 1985",48
Espino,221.72,(915) 747-5012,827.05,1048,3048,"500 W. University Ave, El Paso, TX 79968",Ivan,Espino*Ivan!987,-1270.59,2048,IvanEspino@disney.com,4708,"January 27, 1951",49
Garcia,62.01,(915) 747-5013,1317.74,1049,3049,"500 W. University Ave, El Paso, TX 79968",Julio,Garcia*Julio!987,-1772.21,2049,JulioGarcia@disney.com,9030,"June 20, 1988",50
Garcia Tovar,176.86,(915) 747-5014,239.28,1050,3050,"500 W. University Ave, El Paso, TX 79968",Mauricio,Garcia Tovar*Mauricio!987,-301.09,2050,MauricioGarcia Tovar@disney.com,5760,"August 16, 1944",51
Gomez,1182.78,(915) 747-5015,3233.31,1051,3051,"500 W. University Ave, El Paso, TX 79968",Denise,Gomez*Denise!987,-68.76,2051,DeniseGomez@disney.com,4797,"November 26, 1967",52
Gonzalez,617.17,(915) 747-5016,1845.99,1052,3052,"500 W. University Ave, El Paso, TX 79968",Paulie Jo,Gonzalez*Paulie Jo!987,-1628.19,2052,Paulie JoGonzalez@disney.com,9324,"August 30, 1988",53
Guerrero,738.29,(915) 747-5017,2273.64,1053,3053,"500 W. University Ave, El Paso, TX 79968",Raul,Guerrero*Raul!987,-380.08,2053,RaulGuerrero@disney.com,7209,"February 3, 1988",54
Herrera,1553.22,(915) 747-5018,2414.14,1054,3054,"500 W. University Ave, El Paso, TX 79968",Matthew,Herrera*Matthew!987,-1565.69,2054,MatthewHerrera@disney.com,4335,"February 22, 1953",55
Kish,65.70,(915) 747-5019,1020.07,1055,3055,"500 W. University Ave, El Paso, TX 79968",Ethan,Kish*Ethan!987,-1442.08,2055,EthanKish@disney.com,7824,"August 25, 1982",56
Licon,759.53,(915) 747-5020,3698.55,1056,3056,"500 W. University Ave, El Paso, TX 79968",Diana,Licon*Diana!987,-916.83,2056,DianaLicon@disney.com,6547,"June 4, 1942",57
Loyda,1824.65,(915) 747-5021,1524.61,1057,3057,"500 W. University Ave, El Paso, TX 79968",Dustyn,Loyda*Dustyn!987,-1361.01,2057,DustynLoyda@disney.com,8410,"February 19, 1981",58
Macias,1813.50,(915) 747-5022,4705.08,1058,3058,"500 W. University Ave, El Paso, TX 79968",Mario,Macias*Mario!987,-281.14,2058,MarioMacias@disney.com,7246,"October 15, 2012",59
Moreno,154.27,(915) 747-5023,2398.59,1059,3059,"500 W. University Ave, El Paso, TX 79968",Daniel,Moreno*Daniel!987,-998.80,2059,DanielMoreno@disney.com,6108,"June 1, 1987",60
Moreno,645.72,(915) 747-5024,161.63,1060,3060,"500 W. University Ave, El Paso, TX 79968",Jacob,Moreno*Jacob!987,-1123.70,2060,JacobMoreno@disney.com,5456,"February 13, 1948",61
Moreno,1945.73,(915) 747-5025,1777.53,1061,3061,"500 W. University Ave, El Paso, TX 79968",Kevin,Moreno*Kevin!987,-1280.29,2061,KevinMoreno@disney.com,6777,"November 4, 1942",62
Munoz,80.06,(915) 747-5026,3729.37,1062,3062,"500 W. University Ave, El Paso, TX 79968",Leonardo,Munoz*Leonardo!987,-1936.07,2062,LeonardoMunoz@disney.com,7514,"December 31, 1943",63
Nolasco,150.02,(915) 747-5027,3216.86,1063,3063,"500 W. University Ave, El Paso, TX 79968",Francisco,Nolasco*Francisco!987,-585.84,2063,FranciscoNolasco@disney.com,5474,"July 6, 1987",64
Orozco,1899.34,(915) 747-5028,4513.13,1064,3064,"500 W. University Ave, El Paso, TX 79968",Roberto,Orozco*Roberto!987,-157.18,2064,RobertoOrozco@disney.com,3632,"April 25, 1944",65
Pele,1888.85,(915) 747-5029,3590.71,1065,3065,"500 W. University Ave, El Paso, TX 79968",Elijah,Pele*Elijah!987,-1914.28,2065,ElijahPele@disney.com,5940,"May 23, 1984",66
Perez,1785.67,(915) 747-5030,545.60,1066,3066,"500 W. University Ave, El Paso, TX 79968",Omar,Perez*Omar!987,-1936.96,2066,OmarPerez@disney.com,7782,"July 1, 2004",67
Quinones Rodriguez,1273.06,(915) 747-5031,1668.48,1067,3067,"500 W. University Ave, El Paso, TX 79968",Diego,Quinones Rodriguez*Diego!987,-309.90,2067,DiegoQuinones Rodriguez@disney.com,9017,"August 5, 1955",68
Rabelo,1905.17,(915) 747-5032,2664.81,1068,3068,"500 W. University Ave, El Paso, TX 79968",Juan,Rabelo*Juan!987,-994.77,2068,JuanRabelo@disney.com,4872,"September 4, 1928",69
Ramos,940.21,(915) 747-5033,1446.33,1069,3069,"500 W. University Ave, El Paso, TX 79968",Angel,Ramos*Angel!987,-695.09,2069,AngelRamos@disney.com,4751,"May 3, 1947",70
Retana,346.74,(915) 747-5034,207.95,1070,3070,"500 W. University Ave, El Paso, TX 79968",Efrain,Retana*Efrain!987,-1128.23,2070,EfrainRetana@disney.com,7213,"May 15, 2016",71
Richart Ruiz,73.56,(915) 747-5035,337.45,1071,3071,"500 W. University Ave, El Paso, TX 79968",Hector,Richart Ruiz*Hector!987,-1206.11,2071,HectorRichart Ruiz@disney.com,6052,"March 18, 2013",72
Rodriguez,1669.79,(915) 747-5036,3472.78,1072,3072,"500 W. University Ave, El Paso, TX 79968",Andrew,Rodriguez*Andrew!987,-14.88,2072,AndrewRodriguez@disney.com,8155,"April 24, 1946",73
Salas,1639.57,(915) 747-5037,3783.34,1073,3073,"500 W. University Ave, El Paso, TX 79968",Joel,Salas*Joel!987,-212.70,2073,JoelSalas@disney.com,3484,"July 26, 1987",74
Sanchez,188.87,(915) 747-5038,2588.04,1074,3074,"500 W. University Ave, El Paso, TX 79968",David,Sanchez*David!987,-590.78,2074,DavidSanchez@disney.com,3888,"January 8, 1986",75
Sanchez Jr,251.22,(915) 747-5039,2161.22,1075,3075,"500 W. University Ave, El Paso, TX 79968",Jose,Sanchez Jr*Jose!987,-1243.11,2075,JoseSanchez Jr@disney.com,5419,"April 4, 1991",76
Schlosser,1789.96,(915) 747-5040,1267.98,1076,3076,"500 W. University Ave, El Paso, TX 79968",Madison,Schlosser*Madison!987,-1380.30,2076,MadisonSchlosser@disney.com,9110,"July 9, 1990",77
Trinh,1916.14,(915) 747-5041,2683.95,1077,3077,"500 W. University Ave, El Paso, TX 79968",Dillon,Trinh*Dillon!987,-1653.07,2077,DillonTrinh@disney.com,4351,"November 22, 1977",78
Valdez,227.80,(915) 747-5042,2965.73,1078,3078,"500 W. University Ave, El Paso, TX 79968",Stephanie,Valdez*Stephanie!987,-1110.65,2078,StephanieValdez@disney.com,5154,"September 10, 2003",79
Aun,1077.08,(915) 747-5043,1558.12,1079,3079,"500 W. University Ave, El Paso, TX 79968",Nathan,Aun*Nathan!987,-1296.51,2079,NathanAun@disney.com,3013,"June 19, 1973",80
Rahad,297.36,(915) 747-5044,1968.85,1080,3080,"500 W. University Ave, El Paso, TX 79968",Khandoker,Rahad*Khandoker!987,-1421.74,2080,KhandokerRahad@disney.com,9747,"May 18, 1984",81
Mejia,1620.98,(915) 747-5045,4708.69,1081,3081,"500 W. University Ave, El Paso, TX 79968",Daniel,Mejia*Daniel!987,-339.82,2081,DanielMejia@disney.com,4204,"January 14, 1989",82
A,752.40,(915) 747-5046,4629.63,1082,3082,"500 W. University Ave, El Paso, TX 79968",Daniel,A*Daniel!987,-408.29,2082,DanielA@disney.com,8139,"January 4, 1952",83
B,1699.67,(915) 747-5047,4179.51,1083,3083,"500 W. University Ave, El Paso, TX 79968",Daniel,B*Daniel!987,-1216.26,2083,DanielB@disney.com,6968,"March 23, 1937",84
C,1469.05,(915) 747-5048,807.03,1084,3084,"500 W. University Ave, El Paso, TX 79968",Daniel,C*Daniel!987,-852.72,2084,DanielC@disney.com,7992,"November 17, 2002",85
D,1906.02,(915) 747-5049,3382.70,1085,3085,"500 W. University Ave, El Paso, TX 79968",Daniel,D*Daniel!987,-1350.65,2085,DanielD@disney.com,8096,"March 8, 2003",86
E,1371.66,(915) 747-5050,2830.81,1086,3086,"500 W. University Ave, El Paso, TX 79968",Daniel,E*Daniel!987,-652.48,2086,DanielE@disney.com,4497,"January 28, 1950",87
F,1269.67,(915) 747-5051,4254.86,1087,3087,"500 W. University Ave, El Paso, TX 79968",Daniel,F*Daniel!987,-565.12,2087,DanielF@disney.com,3090,"February 6, 2006",88
G,984.52,(915) 747-5052,2062.86,1088,3088,"500 W. University Ave, El Paso, TX 79968",Daniel,G*Daniel!987,-118.12,2088,DanielG@disney.com,9428,"June 22, 1973",89
H,1603.60,(915) 747-5053,1978.29,1089,3089,"500 W. University Ave, El Paso, TX 79968",Daniel,H*Daniel!987,-254.63,2089,DanielH@disney.com,3883,"January 9, 1999",90
I,701.42,(915) 747-5054,3371.18,1090,3090,"500 W. University Ave, El Paso, TX 79968",Daniel,I*Daniel!987,-1897.14,2090,DanielI@disney.com,3420,"July 30, 1955",91
J,394.76,(915) 747-5055,1995.19,1091,3091,"500 W. University Ave, El Paso, TX 79968",Daniel,J*Daniel!987,-221.00,2091,DanielJ@disney.com,8660,"October 1, 1983",92
K,1539.80,(915) 747-5056,3363.52,1092,3092,"500 W. University Ave, El Paso, TX 79968",Daniel,K*Daniel!987,-1887.18,2092,DanielK@disney.com,4236,"December 12, 2000",93
L,1775.42,(915) 747-5057,2809.77,1093,3093,"500 W. University Ave, El Paso, TX 79968",Daniel,L*Daniel!987,-1911.98,2093,DanielL@disney.com,4888,"June 6, 1992",94
N,1363.38,(915) 747-5058,2659.73,1094,3094,"500 W. University Ave, El Paso, TX 79968",Daniel,N*Daniel!987,-1946.75,2094,DanielN@disney.com,4795,"February 7, 2007",95
O,114.56,(915) 747-5059,4547.94,1095,3095,"500 W. University Ave, El Paso, TX 79968",Daniel,O*Daniel!987,-1757.43,2095,DanielO@disney.com,7982,"March 3, 1936",96
P,191.09,(915) 747-5060,1586.47,1096,3096,"500 W. University Ave, El Paso, TX 79968",Daniel,P*Daniel!987,-1398.23,2096,DanielP@disney.com,5787,"March 15, 1989",97
Q,314.65,(915) 747-5061,3316.96,1097,3097,"500 W. University Ave, El Paso, TX 79968",Daniel,Q*Daniel!987,-106.02,2097,DanielQ@disney.com,9415,"March 14, 1963",98
R,647.22,(915) 747-5062,1556.94,1098,3098,"500 W. University Ave, El Paso, TX 79968",Daniel,R*Daniel!987,-1759.63,2098,DanielR@disney.com,6934,"September 18, 1932",99
S,977.65,(915) 747-5063,214.99,1099,3099,"500 W. University Ave, El Paso, TX 79968",Daniel,S*Daniel!987,-1223.54,2099,DanielS@disney.com,5933,"August 1, 1943",100
T,1758.45,(915) 747-5064,2508.42,1100,3100,"500 W. University Ave, El Paso, TX 79968",Daniel,T*Daniel!987,-731.09,2100,DanielT@disney.com,4809,"January 22, 1996",101
U,1717.82,(915) 747-5065,104.04,1101,3101,"500 W. University Ave, El Paso, TX 79968",Daniel,U*Daniel!987,-1550.55,2101,DanielU@disney.com,8136,"January 3, 1993",102
V,70.68,(915) 747-5066,2904.07,1102,3102,"500 W. University Ave, El Paso, TX 79968",Daniel,V*Daniel!987,-1283.23,2102,DanielV@disney.com,5524,"October 27, 1980",103
W,1597.29,(915) 747-5067,405.73,1103,3103,"500 W. University Ave, El Paso, TX 79968",Daniel,W*Daniel!987,-550.90,2103,DanielW@disney.com,7596,"October 30, 1974",104
X,98.14,(915) 747-5068,3479.19,1104,3104,"500 W. University Ave, El Paso, TX 79968",Daniel,X*Daniel!987,-593.89,2104,DanielX@disney.com,8048,"April 9, 1936",105
Y,1947.24,(915) 747-5069,1808.52,1105,3105,"500 W. University Ave, El Paso, TX 79968",Daniel,Y*Daniel!987,-1773.87,2105,DanielY@disney.com,9074,"October 21, 1944",106
Z,238.59,(915) 747-5070,2656.68,1106,3106,"500 W. University Ave, El Paso, TX 79968",Daniel,Z*Daniel!987,-675.56,2106,DanielZ@disney.com,9234,"December 4, 1984",107
