First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Email,Password,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance
Cruella,De Vil,"April 1, 1941",22,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,CruellaDe Vil@disney.com,De Vil*Cruella!987,1021,2021,3021,747.26,1170.73,-1025.67
Scar,Lion,"November 8, 1982",23,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,ScarLion@disney.com,Lion*Scar!987,1022,2022,3022,1714.33,1117.48,-984.64
Simba,King,"March 24, 1972",24,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,SimbaKing@disney.com,King*Simba!987,1023,2023,3023,1710.18,2220.43,-1653.74
Gaston,Disney,"February 22, 1943",25,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,GastonDisney@disney.com,Disney*Gaston!987,1024,2024,3024,1395.98,1760.81,-1496.55
Shere,Khan,"December 1, 1940",26,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,ShereKhan@disney.com,Khan*Shere!987,1025,2025,3025,1220.72,1452.4,-233.88
Captaiin,Hook,"February 2, 1934",27,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,CaptaiinHook@disney.com,Hook*Captaiin!987,1026,2026,3026,454.5,3947.26,-1693.27
Kaa,Disney,"December 16, 1938",28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,KaaDisney@disney.com,Disney*Kaa!987,1027,2027,3027,50.33,751.14,-1931.07
Evil,Queen,"October 30, 1997",29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,EvilQueen@disney.com,Queen*Evil!987,1028,2028,3028,1115.6,3762.75,-1697.08
Pinocchio,Disney,"September 11, 1982",30,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,PinocchioDisney@disney.com,Disney*Pinocchio!987,1029,2029,3029,1837.1600000000003,665.21,-478.74
Prince,Eric,"October 12, 1990",31,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,PrinceEric@disney.com,Eric*Prince!987,1030,2030,3030,1199.92,3111.28,-1227.95
Quasimodo,Disney,"October 12, 1983",32,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,QuasimodoDisney@disney.com,Disney*Quasimodo!987,1031,2031,3031,480.5400000000001,1008.64,-530.57
Hercules,Disney,"January 18, 1985",33,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,HerculesDisney@disney.com,Disney*Hercules!987,1032,2032,3032,1027.57,4827.1,-1092.61
Mulan,Disney,"August 25, 1996",34,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,MulanDisney@disney.com,Disney*Mulan!987,1033,2033,3033,635.78,4074.21,-1909.97
Lilo,Disney,"November 10, 1971",35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,LiloDisney@disney.com,Disney*Lilo!987,1034,2034,3034,1962.25,4078.4300000000003,-6.78
Stitch,Disney,"April 4, 1935",36,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,StitchDisney@disney.com,Disney*Stitch!987,1035,2035,3035,1889.11,2782.03,-414.18
Ali,Abed,"September 17, 1946",37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,AliAbed@disney.com,Abed*Ali!987,1036,2036,3036,4224.51,483.4,-1129.45
Kevin,Acosta,"February 14, 1929",38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,KevinAcosta@disney.com,Acosta*Kevin!987,1037,2037,3037,5542.78,1796.46,-518.37
Antonio,Aguirre,"November 10, 1998",39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,AntonioAguirre@disney.com,Aguirre*Antonio!987,1038,2038,3038,5132.0599999999995,2022.42,-474.31
Madison,Anderson,"January 15, 1978",40,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,MadisonAnderson@disney.com,Anderson*Madison!987,1039,2039,3039,5839.62,1991.43,-871.6
Kevin,Aofia,"January 12, 2012",41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,KevinAofia@disney.com,Aofia*Kevin!987,1040,2040,3040,4948.84,1724.9,-1549.83
Angel,Armendariz,"April 30, 1989",42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,AngelArmendariz@disney.com,Armendariz*Angel!987,1041,2041,3041,5182.34,3435.35,-1247.97
Nadia,Atiyeh,"February 26, 2018",43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,NadiaAtiyeh@disney.com,Atiyeh*Nadia!987,1042,2042,3042,4619.410000000001,1823.76,-323.05
Nicole,Avila,"December 25, 1992",44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,NicoleAvila@disney.com,Avila*Nicole!987,1043,2043,3043,4382.74,2567.4,-1820.42
Andrea,Carrera Pio,"July 31, 1954",45,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,AndreaCarrera Pio@disney.com,Carrera Pio*Andrea!987,1044,2044,3044,5284.74,691.02,-78.1
Luis,Davila,"June 21, 2006",46,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,LuisDavila@disney.com,Davila*Luis!987,1045,2045,3045,5582.15,1313.18,-234.31
Vincent,De La Torre,"November 1, 1945",47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,VincentDe La Torre@disney.com,De La Torre*Vincent!987,1046,2046,3046,5879.29,4324.82,-1617.2
Oswaldo,Escobedo,"May 26, 1958",48,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,OswaldoEscobedo@disney.com,Escobedo*Oswaldo!987,1047,2047,3047,5113.8,2028.97,-1348.07
Ivan,Espino,"April 10, 2005",49,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,IvanEspino@disney.com,Espino*Ivan!987,1048,2048,3048,5932.5599999999995,3363.78,-86.64
Julio,Garcia,"October 21, 1951",50,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,JulioGarcia@disney.com,Garcia*Julio!987,1049,2049,3049,4372.39,930.1,-826.42
Mauricio,Garcia Tovar,"August 19, 1991",51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,MauricioGarcia Tovar@disney.com,Garcia Tovar*Mauricio!987,1050,2050,3050,5624.86,1809.13,-641.22
Denise,Gomez,"July 10, 1961",52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,DeniseGomez@disney.com,Gomez*Denise!987,1051,2051,3051,5475.77,2602.43,-409.14
Paulie Jo,Gonzalez,"January 13, 1951",53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,Paulie JoGonzalez@disney.com,Gonzalez*Paulie Jo!987,1052,2052,3052,4966.289999999999,132.65,-1981.03
Raul,Guerrero,"March 27, 1953",54,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,RaulGuerrero@disney.com,Guerrero*Raul!987,1053,2053,3053,4482.73,142.4,-1117.89
Matthew,Herrera,"July 1, 2004",55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,MatthewHerrera@disney.com,Herrera*Matthew!987,1054,2054,3054,5313.990000000001,3007.51,-11.43
Ethan,Kish,"October 29, 1978",56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5019,EthanKish@disney.com,Kish*Ethan!987,1055,2055,3055,4428.09,2378.44,-1811.16
Diana,Licon,"April 24, 1974",57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,DianaLicon@disney.com,Licon*Diana!987,1056,2056,3056,4305.72,1117.88,-1007.84
Dustyn,Loyda,"March 16, 1934",58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,DustynLoyda@disney.com,Loyda*Dustyn!987,1057,2057,3057,4707.95,3326.55,-1587.18
Mario,Macias,"April 1, 1961",59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,MarioMacias@disney.com,Macias*Mario!987,1058,2058,3058,4801.28,3630.09,-955.14
Daniel,Moreno,"December 20, 1961",60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,DanielMoreno@disney.com,Moreno*Daniel!987,1059,2059,3059,5848.38,4957.04,-1572.11
Jacob,Moreno,"June 30, 1999",61,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,JacobMoreno@disney.com,Moreno*Jacob!987,1060,2060,3060,4699.88,2666.55,-1575.42
Kevin,Moreno,"April 26, 1943",62,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,KevinMoreno@disney.com,Moreno*Kevin!987,1061,2061,3061,4807.95,778.64,-1368.09
Leonardo,Munoz,"June 27, 2007",63,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,LeonardoMunoz@disney.com,Munoz*Leonardo!987,1062,2062,3062,4924.38,4420.49,-533.12
Francisco,Nolasco,"March 13, 1964",64,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,FranciscoNolasco@disney.com,Nolasco*Francisco!987,1063,2063,3063,5462.25,2541.34,-1185.6
Roberto,Orozco,"April 26, 1972",65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,RobertoOrozco@disney.com,Orozco*Roberto!987,1064,2064,3064,4718.200000000001,3290.74,-50.88
Elijah,Pele,"May 29, 1947",66,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,ElijahPele@disney.com,Pele*Elijah!987,1065,2065,3065,4802.490000000001,2752.83,-1608.52
Omar,Perez,"June 12, 2009",67,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,OmarPerez@disney.com,Perez*Omar!987,1066,2066,3066,4654.07,2653.38,-53.47
Diego,Quinones Rodriguez,"November 11, 2012",68,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,DiegoQuinones Rodriguez@disney.com,Quinones Rodriguez*Diego!987,1067,2067,3067,5138.54,4363.73,-468.82
Juan,Rabelo,"December 13, 1928",69,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,JuanRabelo@disney.com,Rabelo*Juan!987,1068,2068,3068,5275.99,4711.52,-1726.67
Angel,Ramos,"November 28, 1988",70,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,AngelRamos@disney.com,Ramos*Angel!987,1069,2069,3069,5070.759999999999,4616.47,-1751.7
Efrain,Retana,"January 14, 1937",71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,EfrainRetana@disney.com,Retana*Efrain!987,1070,2070,3070,5597.99,2261.34,-1457.16
Hector,Richart Ruiz,"March 8, 1933",72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,HectorRichart Ruiz@disney.com,Richart Ruiz*Hector!987,1071,2071,3071,4245.37,4749.24,-1313.9
Andrew,Rodriguez,"November 6, 1952",73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,AndrewRodriguez@disney.com,Rodriguez*Andrew!987,1072,2072,3072,5820.200000000001,2626.11,-1946.16
Joel,Salas,"May 12, 1930",74,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,JoelSalas@disney.com,Salas*Joel!987,1073,2073,3073,4548.96,3454.53,-1374.22
David,Sanchez,"November 11, 2012",75,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,DavidSanchez@disney.com,Sanchez*David!987,1074,2074,3074,5405.71,76.74,-120.17
Jose,Sanchez Jr,"October 23, 1987",76,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,JoseSanchez Jr@disney.com,Sanchez Jr*Jose!987,1075,2075,3075,5130.509999999999,1655.66,-1574.9
Madison,Schlosser,"October 4, 2010",77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5040,MadisonSchlosser@disney.com,Schlosser*Madison!987,1076,2076,3076,4994.8,2195.18,-1476.61
Dillon,Trinh,"February 13, 1942",78,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,DillonTrinh@disney.com,Trinh*Dillon!987,1077,2077,3077,5834.23,2444.78,-455.21
Stephanie,Valdez,"January 4, 1970",79,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,StephanieValdez@disney.com,Valdez*Stephanie!987,1078,2078,3078,5863.97,4985.91,-1674.69
Nathan,Aun,"December 20, 1990",80,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,NathanAun@disney.com,Aun*Nathan!987,1079,2079,3079,1568.62,3868.27,-176.58
Khandoker,Rahad,"December 27, 2001",81,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,KhandokerRahad@disney.com,Rahad*Khandoker!987,1080,2080,3080,444.86,3369.92,-1108.67
Daniel,Mejia,"January 29, 1937",82,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,DanielMejia@disney.com,Mejia*Daniel!987,1081,2081,3081,43267.51,739.28,-1314.82
Daniel,A,"October 6, 1935",83,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,DanielA@disney.com,A*Daniel!987,1082,2082,3082,1608.95,472.62,-597.02
Daniel,B,"December 19, 1967",84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,DanielB@disney.com,B*Daniel!987,1083,2083,3083,1248.1,25.43,-949.66
Daniel,C,"March 26, 1947",85,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,DanielC@disney.com,C*Daniel!987,1084,2084,3084,506.49,585.08,-177.66
Daniel,D,"July 27, 1936",86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,DanielD@disney.com,D*Daniel!987,1085,2085,3085,1312.9,1923.71,-1954.86
Daniel,E,"March 30, 1934",87,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,DanielE@disney.com,E*Daniel!987,1086,2086,3086,411.84,1367.9,-1341.59
Daniel,F,"July 15, 1940",88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,DanielF@disney.com,F*Daniel!987,1087,2087,3087,1102.06,4254.63,-1747.66
Daniel,G,"October 17, 1961",89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,DanielG@disney.com,G*Daniel!987,1088,2088,3088,1634.77,2529.43,-999.57
Daniel,H,"July 27, 2009",90,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,DanielH@disney.com,H*Daniel!987,1089,2089,3089,1339.48,3040.89,-1689.39
Daniel,I,"October 31, 1933",91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,DanielI@disney.com,I*Daniel!987,1090,2090,3090,1238.97,4566.66,-1898.03
Daniel,J,"February 15, 2005",92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,DanielJ@disney.com,J*Daniel!987,1091,2091,3091,317.72,1518.04,-1113.22
Daniel,K,"February 7, 2015",93,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,DanielK@disney.com,K*Daniel!987,1092,2092,3092,436.75,2283.15,-121.69
Daniel,L,"February 4, 1982",94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,DanielL@disney.com,L*Daniel!987,1093,2093,3093,707.79,4280.8,-459.68
Daniel,N,"July 28, 1998",95,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,DanielN@disney.com,N*Daniel!987,1094,2094,3094,1310.9,1494.58,-86.54
Daniel,O,"January 20, 1961",96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,DanielO@disney.com,O*Daniel!987,1095,2095,3095,1833.95,4261.12,-1729.95
Daniel,P,"July 29, 1932",97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,DanielP@disney.com,P*Daniel!987,1096,2096,3096,1317.93,4025.04,-739.9
Daniel,Q,"October 7, 1943",98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,DanielQ@disney.com,Q*Daniel!987,1097,2097,3097,1494.79,4248.75,-1670.85
Daniel,R,"July 12, 2007",99,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,DanielR@disney.com,R*Daniel!987,1098,2098,3098,415.9,1088.44,-1814.13
Daniel,S,"October 19, 1998",100,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,DanielS@disney.com,S*Daniel!987,1099,2099,3099,1775.98,4281.39,-1784.33
Daniel,T,"November 29, 2018",101,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,DanielT@disney.com,T*Daniel!987,1100,2100,3100,1442.14,374.68,-583.94
Daniel,U,"December 1, 1981",102,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,DanielU@disney.com,U*Daniel!987,1101,2101,3101,1483.83,4355.1,-925.95
Daniel,V,"February 21, 1954",103,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,DanielV@disney.com,V*Daniel!987,1102,2102,3102,193.23,1744.25,-1596.96
Daniel,W,"October 26, 2008",104,"500 W. University Ave, El Paso, TX 79968",(915) 747-5067,DanielW@disney.com,W*Daniel!987,1103,2103,3103,1680.06,4459.07,-1145.2
Daniel,X,"June 4, 1944",105,"500 W. University Ave, El Paso, TX 79968",(915) 747-5068,DanielX@disney.com,X*Daniel!987,1104,2104,3104,312.23,1292.18,-916.32
Daniel,Y,"November 26, 1948",106,"500 W. University Ave, El Paso, TX 79968",(915) 747-5069,DanielY@disney.com,Y*Daniel!987,1105,2105,3105,16.42,1534.36,-1503.04
Daniel,Z,"May 21, 1984",107,"500 W. University Ave, El Paso, TX 79968",(915) 747-5070,DanielZ@disney.com,Z*Daniel!987,1106,2106,3106,555.83,1573.56,-690.04
